data,IPCA,mediadosnucleos,EX3servicos,administrados,servicos,industriais,alimentacaonodomicilio
2004-01-01,4.400011731147103,6.13154458716725,6.401687939655858,5.178513646112151,6.077507178559287,4.958369472525376,2.9284846348060682
2004-02-01,5.441901575520333,6.2586619789120075,6.2875575048383325,5.849805337939856,7.81836869373538,6.19743650809086,3.053636526437927
2004-03-01,5.939653816583032,7.006326799650478,6.647161880126504,4.347367917848516,8.573050872593996,7.712455135027142,6.415265421862969
2004-04-01,5.147439320643315,7.165647371951044,6.323524884903065,2.6067842225369446,8.462451728142412,9.664001583539346,2.422028405171801
2004-05-01,5.795999180165467,7.566980058363103,6.276422090636416,3.176002211813426,6.530938406420034,11.54236056920908,2.879716909151938
2004-06-01,8.531299623537649,7.714802804009824,5.611706815230775,8.206052065206876,5.892276123578739,11.754875856544999,2.4289815682210474
2004-07-01,10.39013598255778,8.016692172508154,5.941535507013953,12.72479946722676,6.127703240132803,10.962916611990579,7.434825482396846
2004-08-01,11.111554222350378,8.417838078498828,7.1653360012797265,14.681375036333023,7.44493028839544,9.698543801884568,8.322748835963495
2004-09-01,9.03851815685968,7.700905787283449,7.081722004058506,14.040037106704077,7.130603570436307,8.317257051759569,6.218112523221549
2004-10-01,7.663270577836286,7.291395015455885,6.83690075436769,11.709099891079092,7.063232083439885,8.004707994170118,4.375626615165686
2004-11-01,6.713646868481419,6.997912321074085,6.069434898746209,13.229364361765732,5.860868304102723,7.824746003299438,2.8019345738320283
2004-12-01,7.100124686779523,7.222258753669311,6.967459899792573,14.729382399645047,6.839780801833385,6.911847603733932,1.3405494163586553
2005-01-01,6.685544867301758,6.839845186727788,6.767605965131111,12.775202121668826,6.465259938502882,5.78085178620897,3.6636113582861185
2005-02-01,6.129007919699106,6.611306801348147,7.149265920280513,8.3023102387304,8.365019566912508,4.896535410533602,6.454952710293327
2005-03-01,5.98958510126792,6.273057347311687,7.381485231116216,8.20031383714273,8.238473110105787,3.6493336710204005,7.055160249158931
2005-04-01,7.648394072996425,7.178417503398205,7.693268533369519,11.266309846161036,8.760779144360399,5.403374674853097,7.740726141885943
2005-05-01,8.088387803451383,7.235564528053743,6.720806656983797,11.695716967523765,6.846346527174134,6.356213665938398,11.344366155633296
2005-06-01,6.6526943191975505,7.046583828131307,6.024665200745289,5.98463921730945,6.652326626041429,8.062600655003152,10.230294447380246
2005-07-01,4.335858547332478,6.065043758499374,6.453284609031002,2.831902105062653,6.932858764793195,6.825535970628138,6.1710242418104
2005-08-01,3.2634042692519785,5.431105840916868,5.811335747409345,4.433983872511547,6.696857506563973,5.650717012617761,0.12943369167352614
2005-09-01,4.299049589141532,5.310889466773366,5.821130966705155,9.994613623032535,6.921312896186052,4.2250801068072406,-0.052617642695125255
2005-10-01,6.724590685786282,5.415034482156801,5.0860223963910585,15.820888390963873,6.531664934806997,3.1391193955747667,0.681822221076203
2005-11-01,7.413988573540962,5.702132417793399,5.994644326813955,15.861048005164946,7.251848728480752,1.6154044148499906,1.5712211711461919
2005-12-01,5.9574579672594155,4.82381686797836,4.2627874129227905,12.08428604495002,5.423299200928938,1.5687650546446434,1.6705707900587896
